Income,Number_of_Dependents,Credit_Utilization_Ratio,Missed_Payments_90days,Total_Credit_Accounts,Debt_to_Income_Ratio,Length_of_Credit_History,Bankruptcies,Credit_Score
51603.15645111023,0,0.09264194562015089,1,2,0.190238491910224,12.997456767918797,0,622.6295471467326
48496.17096253767,2,0.22221282144190177,0,3,0.5190801534617134,17.710306127168128,0,769.2247360770033
46917.93977421847,2,0.7201229837873654,1,3,0.5777970168470353,10.665336671510579,0,343.5384281875664
75961.32812995958,2,0.398280961985218,1,14,0.469016725093711,13.349357667828023,0,705.1988661944526
55419.59369390942,1,0.4261008800505138,3,11,0.33190882636245356,3.7032076166267203,0,300.0
86858.13820693787,0,0.18299813128620182,0,4,0.5353229958857509,14.04865091781255,1,633.3169708012554
70592.51098631928,1,0.36342977003375304,1,6,0.3829202478007849,22.274054076097876,0,850.0
75527.968086985,1,0.4809961299403659,2,8,0.1529761705764736,9.990372786398801,0,463.86770424505823
49000.26598460234,0,0.8491661105800777,0,5,0.4035210953767994,14.70255519610793,0,575.9238079214334
66886.61407807899,2,0.37817593083028567,0,7,0.39678958472891906,12.687892444702934,0,670.1654289762314
96101.64077135705,1,0.10064346165583993,1,11,0.12322135160882727,24.14006307897599,0,850.0
65684.97865742048,2,0.341777671368784,0,8,0.19645986095722734,5.620819144105935,0,511.5011631090116
108098.9974158371,2,0.8261056197125533,2,8,0.2500572682659262,12.298570983936433,1,370.9881326272905
56096.09990951062,4,0.3520267715533301,1,4,0.17161078929836732,5.975105875740899,0,370.90226492881305
80585.01818397976,1,0.187558945084632,0,11,0.3655292162204865,27.020163276522382,0,850.0
61966.89118296274,1,0.42830843932461343,0,7,0.3951890359072791,7.19310264981167,0,492.74887506574674
36021.27053743261,3,0.26983096203215867,1,9,0.36550129395498,12.167299582994458,0,612.7502332468355
75836.62254044149,2,0.6661917642284134,0,7,0.3229319725237814,17.034458762381988,0,745.6037742960834
108664.26652199574,2,0.1693173780263179,0,6,0.1641970918166515,19.07920718863258,0,850.0
59633.318855534315,0,0.34979883055425715,0,7,0.1830309166870898,14.95843089823229,1,698.6041277090305
25244.770552965216,1,0.6646443790476823,0,4,0.21354102935994257,10.970713653405852,0,504.75900747157374
62696.07476072103,2,0.3512798182568815,1,1,0.12360185648098314,8.024546993695708,0,405.17355994831746
61724.02026579662,3,0.1473087821692731,0,4,0.20162256832254352,21.907985506792997,0,850.0
90248.92679860332,1,0.5719972355367801,0,4,0.12533674077746007,14.68217602475324,0,695.8314119408521
41741.28015140428,2,0.5092009715072269,1,4,0.14704670584776397,10.906626151734162,0,479.6690558989897
60324.54815395116,2,0.28788509817715174,1,4,0.5453483024826216,11.115491646039832,0,493.9075949004812
68172.65804026295,0,0.15070606386723598,0,6,0.15114084843177697,9.01588260015978,0,645.5772734667264
65212.77737877938,1,0.1338634619272992,0,8,0.12258529702697354,15.522162367020119,0,850.0
71746.22723379907,1,0.34519802769197105,0,8,0.15564341168282014,12.15550519980279,0,719.8499554745339
46452.449359393155,1,0.8867025761758128,1,10,0.27000074449193107,10.302298397643776,0,444.8614957844992
51767.89309223028,3,0.4259819844960045,3,6,0.15871082673258077,17.721334943645928,0,576.8498569036431
66109.16700355952,2,0.40017488943133456,2,10,0.5677266151297173,20.394795315570967,0,754.7139228422109
124089.44445347803,0,0.2446303053770066,0,9,0.2237896778300703,12.767435450772725,0,806.0233318067383
68609.58709793394,0,0.6036057234028248,1,9,0.6027215030582866,12.453649934305785,0,533.0395664516803
40612.50007199892,3,0.418902375283945,0,6,0.13740953146613613,8.853766298278202,0,548.3509654554385
56089.170260367035,0,0.5448633569023197,0,4,0.46167312306664654,21.37405830525558,0,833.1477216456685
85428.86613236791,2,0.01413678967967094,1,6,0.0450510364476157,10.826496384715227,0,675.4556160759753
97694.31180023645,6,0.4274332589135128,0,5,0.23431235086109783,8.109246734866959,0,523.4017758886235
72802.86091302805,2,0.2352662585649823,0,7,0.3568886859762476,2.8586296031597875,0,420.9442611657963
92292.44902332715,4,0.6280463199203069,0,7,0.706115413983685,14.564217164313234,0,628.5259222006524
47680.117055817536,1,0.4217188856874087,1,9,0.38291747332003867,20.853006021786058,0,846.5095829376021
38391.93091345212,1,0.38251030945630277,0,10,0.13253780470214338,6.707291426206836,0,558.3051153257759
86010.71960892447,2,0.35697233260354067,1,14,0.6480226838929246,14.694317099556264,0,735.723506991147
60498.50886775361,0,0.5290798480061368,1,5,0.4480865154347914,5.257993892215008,0,300.0
63833.02375949299,2,0.41501632280404216,0,6,0.5508052872562156,10.194462344672123,0,546.014345723716
67035.79949254231,0,0.6315558959840267,0,4,0.504065258578176,19.003840828277994,0,741.3069950606349
56452.44909417798,2,0.4273240188468136,0,8,0.12296552072581471,12.248084334845302,0,693.8016632875688
47402.51679095825,3,0.22417829744084228,0,10,0.15795840734717856,6.607232908770404,0,591.0803296614637
64859.54143358734,1,0.17582386207807682,0,5,0.357132872821817,6.738839008468587,0,519.8789681003241
77240.35288260986,3,0.41708723083819993,0,6,0.29955979197286137,9.006653890862516,1,473.4874088088029
67215.43160701852,2,0.46555540843731963,2,8,0.13920759125859372,8.220081736526897,0,408.1427490357003
39430.73985084973,4,0.6471739854311115,1,6,0.20148403306238644,15.952441875158089,0,610.8443148381732
77175.64983511632,0,0.27467789229060824,1,8,0.17346515771129775,18.007743987243366,0,836.9935061113651
80951.36661603165,2,0.6706540979379435,0,7,0.631821567024627,5.811590258349533,0,364.8785259563272
85091.321761138,1,0.05288795233556073,0,3,0.2809244298022894,10.22556675690809,0,650.1338979937677
85680.06727897885,2,0.29513193374657964,1,6,0.25368415487890145,1.8040427231442866,0,303.40571987850103
121544.77503896767,1,0.5472814080887503,1,4,0.4320473360914557,14.318090089554895,0,585.9451002767195
43193.82105463529,1,0.16803739970758627,0,7,0.37564546385831327,9.908273817734447,0,629.68792572948
62765.596153213635,1,0.6845627196652196,0,9,0.20907379453064792,4.44088081026992,0,404.5684059810047
98019.62185332815,3,0.8090368165034585,1,5,0.34917766405690637,8.490205362810924,0,351.41672171881265
67764.80417780891,1,0.3072732257172172,2,8,0.23324058245624157,10.84981135693901,0,515.8664830289691
36817.70916785518,1,0.3428245713589684,1,8,0.2526703115839131,11.855007367649142,0,593.5886708973819
81457.76947211557,1,0.3945175662555033,1,4,0.6449407717274085,13.729410148071903,0,547.8169767672471
103608.3973740841,2,0.7577160490885058,1,3,0.4892730803461011,6.629043729789845,0,300.0
35301.98598125528,0,0.1334659818597815,1,11,0.21141400837988927,14.512302935234462,0,778.825148655942
51523.030869330614,3,0.40163208379959,0,8,0.20138545952467496,22.597470086179307,1,850.0
53140.704682828014,2,0.24905410675213308,1,4,0.37459148742063386,13.037604843566028,0,582.1030319610711
27794.30493756412,1,0.2610643619953403,0,8,0.21922519336121096,13.486046961496106,0,741.9610759669092
65784.9216737645,0,0.213271018489088,0,4,0.7422794292846976,10.241505735580514,0,546.4421175016151
96343.72250518479,2,0.2907052364578602,0,6,0.27660052305025323,13.397055212912424,0,735.9744171521595
68843.7950109461,0,0.5356161947228123,1,5,0.127207554572637,8.627387224843117,0,446.7322982193256
99999.38404116372,1,0.41226306809058433,1,10,0.5741397001280613,4.518301870273776,0,380.0285900938005
72392.65584443051,1,0.49361825277417376,2,6,0.3840599445154975,14.036321728212531,0,515.3378675384615
68582.75496702002,2,0.2156313532622398,1,11,0.5818490370071303,10.814292903079286,0,607.965429870429
84105.54516040036,1,0.3284896809610406,1,6,0.3656675834110887,6.665620667927346,0,426.06642572616386
61273.353495433854,2,0.42518500509835866,1,11,0.039441804745750556,18.839621522294255,0,850.0
15000.0,2,0.33921285670330764,0,5,0.28883123859002635,11.910020481228623,2,448.1727144725278
93723.09016007242,2,0.4874345481105968,0,7,0.38752138833355976,10.26487354292655,0,589.4414211168283
123689.58675498235,3,0.462241132952855,1,8,0.13700805485952003,11.447458253924498,1,540.7719806539147
126104.12414482591,4,0.6090348912068753,0,9,0.3339874931303222,12.429476615946259,0,677.5968678036713
155635.84294736612,1,0.35149536705070855,1,4,0.25592420640572067,10.73009594332964,0,576.3976342079313
62490.51407310928,1,0.11790014165092418,3,4,0.024206294611141214,14.351209498738458,0,556.0906480731577
89853.36739341036,0,0.14703803803216126,0,12,0.3322747295344579,10.947285778768569,2,621.7200993537883
45854.13070866399,1,0.618683011491126,1,7,0.25980381351383824,17.168717890461572,2,513.9896322864325
55648.39682574567,1,0.5438125542996974,0,7,0.34470772522390747,2.0305565783014963,0,312.3563312076982
53726.21451887835,2,0.22599543014660467,0,7,0.5689812352916774,18.91825848935193,1,780.519188196074
94296.93968306939,1,0.05395050287308425,0,8,0.07935067068629505,6.222012764446214,0,641.1347830675506
66232.57953770274,0,0.3473497011674063,0,6,0.44046530082145735,17.220780521716893,0,797.8712482615718
39104.78809969172,0,0.8203965066236774,1,7,0.06912132600118086,21.070927967418797,0,767.7303721995952
51300.870424805835,1,0.6736554796143331,2,7,0.29972137258893616,8.602335195791667,0,320.8985603650301
26134.930191813975,2,0.12374395101691574,1,9,0.19590463943521977,9.815747836922377,0,600.574038232702
33349.51111943535,2,0.3706116755974436,0,5,0.15027942688784213,19.546326843402273,0,850.0
99417.28377162691,2,0.30896185671625265,0,8,0.06566551974059348,20.35874337618378,0,850.0
55513.38785863956,2,0.11378358139305485,0,5,0.4701261027360508,7.004415852510725,0,517.1765900557434
57055.79371111814,2,0.24945041943082796,1,8,0.17212122055568965,8.006557056281899,0,524.0531195548086
101939.58295206561,3,0.36350364165524,1,11,0.5037936380861133,11.451388029267562,0,621.0564067193435
80797.34627596504,4,0.5199683457711616,0,7,0.13219038301775596,15.064089131579617,0,748.9669275692448
58108.68491354116,2,0.6966270493633956,0,6,0.4215600989645043,11.528742579353466,0,531.2106234707735
16292.885050336932,0,0.24663297289930158,0,3,0.2534471041929123,7.139800312366626,0,470.38062388412783
59802.29457502373,1,0.5828401577128176,0,4,0.3437311855291303,17.675411931984303,0,729.8608370853043
36424.509722850395,1,0.380309141892197,0,10,0.2910385394947444,15.397350334741473,0,794.4704501268835
76421.03621411922,0,0.24106956350022157,0,11,0.5646423668176325,7.328295960490023,1,510.83249039307987
54626.50678203499,3,0.45066577106552286,0,6,0.3701944356651632,16.01409578872931,0,729.6449367337475
74544.6607599765,4,0.6165065053491674,0,10,0.11067684204108912,13.600642806149276,1,644.9875720476741
48733.06879938174,2,0.2557275147762425,1,8,0.07063927379341368,2.7290086384814813,0,373.83120192429294
42345.73164522233,1,0.12076406788272448,0,8,0.142725178183471,13.089568390734119,0,786.3177457873034
69332.36028608875,1,0.26293150025155204,0,12,0.07882981139991777,13.795521350970525,0,850.0
57152.38242919507,0,0.41838349090712723,2,6,0.7615000326112256,7.793962034312509,0,300.0
